time,x_leading,x_infty,ratio
100000,0.60528,32.4166,0.0186719
517947,0.991384,53.095,0.0186719
2.6827e+06,1.62378,86.9639,0.0186719
1.3895e+07,2.65958,142.438,0.0186719
7.19686e+07,4.35611,233.298,0.0186719
3.72759e+08,7.13485,382.117,0.0186719
1.9307e+09,11.6861,625.867,0.0186719
1e+10,19.1406,1025.1,0.0186719
5.17947e+10,31.3503,1679.01,0.0186719
2.6827e+11,51.3485,2750.04,0.0186719
1.3895e+12,84.1033,4504.27,0.0186719
7.19686e+12,137.752,7377.52,0.0186719
3.72759e+13,225.624,12083.6,0.0186719
1.9307e+14,369.548,19791.6,0.0186719
1e+15,605.28,32416.6,0.0186719
