w,t,F_used,F_eff,average_x,mu,mu_inf,R_of_t,steps_mean,steps_max,prob_sum,delta_x
5,10000000,0.00080000000000000004,0.012369979788439671,0.22533333333333333,0.015201920083788815,0.019961611313468634,0.76155776430391031,141.65533333333335,1013,1,0.0020616632980565153
5,100000000,0.00080000000000000004,0.012369979788439671,0.52300000000000002,0.017683763283633216,0.019961611313468634,0.88588856911072644,276.76100000000002,1836,1,0.0020616632980565153
5,1000000000,0.00080000000000000004,0.012369979788439671,1.0323333333333333,0.017494154373202432,0.019961611313468634,0.87638989150132673,537.39033333333339,3064,1,0.0020616632980565153
5,10000000000,0.00080000000000000004,0.012369979788439671,2.5093333333333332,0.021312350976277691,0.019961611313468634,1.0676668652443742,1123.9453333333333,6813,1,0.0020616632980565153
5,100000000000,0.00080000000000000004,0.012369979788439671,4.7756666666666669,0.020328578449925475,0.019961611313468634,1.0183836430182989,2216.9456666666665,13899,1,0.0020616632980565153
5,1000000000000,0.00080000000000000004,0.012369979788439671,8.9946666666666673,0.019189253376991993,0.019961611313468634,0.96130783610862569,4481.5720000000001,25648,1,0.0020616632980565153
5,10000000000000,0.00080000000000000004,0.012369979788439671,16.321333333333332,0.017451334317989512,0.019961611313468634,0.87424477132337652,8605.5206666666672,57860,1,0.0020616632980565153
5,100000000000000,0.00080000000000000004,0.012369979788439671,34.561,0.018520781319358418,0.019961611313468634,0.9278199554392661,17146.252666666667,120378,1,0.0020616632980565153
5,1000000000000000,0.00080000000000000004,0.012369979788439671,74.031666666666666,0.019883394560555209,0.019961611313468634,0.99608164132217869,34846.743000000002,229573,1,0.0020616632980565153
5,10000000000000000,0.00080000000000000004,0.012369979788439671,143.86133333333333,0.019364981436705259,0.019961611313468634,0.97011113645115343,71367.252666666667,586236,1,0.0020616632980565153
5,1e+17,0.00080000000000000004,0.012369979788439671,286.20699999999999,0.019308709799205383,0.019961611313468634,0.96729214370471583,141796.73733333332,968478,1,0.0020616632980565153
