dim,w,t,F_used,F_eff,average_x,mu_sim,mu_inf,R_of_t,steps_max,steps_mean,prob_sum,delta_x
3,5,10000,0.00080000000000000004,0.012369979788439671,0.070666666666666669,0.03786932900961569,0.019961611313468634,1.8971078243600625,111,17.997666666666667,1,0.0020616632980565153
3,5,28729.848333536625,0.00080000000000000004,0.012369979788439671,0.049333333333333333,0.019262536052867912,0.019961611313468634,0.96497901649206863,168,24.760000000000002,1,0.0020616632980565153
3,5,82540.418526801892,0.00080000000000000004,0.012369979788439671,0.087666666666666671,0.024940634486171138,0.019961611313468634,1.2494299229913881,203,32.539999999999999,1,0.0020616632980565153
3,5,237137.37056616554,0.00080000000000000004,0.012369979788439671,0.041666666666666664,0.0086369769821842517,0.019961611313468634,0.43267934870351132,287,46.292000000000002,1,0.0020616632980565153
3,5,681292.06905796088,0.00080000000000000004,0.012369979788439671,0.18966666666666668,0.028646001846231103,0.019961611313468634,1.435054585343162,528,64.679000000000002,1,0.0020616632980565153
3,5,1957341.7814876577,0.00080000000000000004,0.012369979788439671,0.12666666666666668,0.013939119644069095,0.019961611313468634,0.6982963161227369,548,86.001999999999995,1,0.0020616632980565153
3,5,5623413.2519034911,0.00080000000000000004,0.012369979788439671,0.30399999999999999,0.024375110182519418,0.019961611313468634,1.2210993290943841,742,115.05366666666667,1,0.0020616632980565153
3,5,16155980.984398728,0.00080000000000000004,0.012369979788439671,0.19400000000000001,0.011333778839607704,0.019961611313468634,0.56777875601457584,971,164.61866666666666,1,0.0020616632980565153
3,5,46415888.336127728,0.00080000000000000004,0.012369979788439671,0.63933333333333331,0.027214499523247761,0.019961611313468634,1.3633418212529471,1570,225.702,1,0.0020616632980565153
3,5,133352143.21633241,0.00080000000000000004,0.012369979788439671,0.56999999999999995,0.017678599596763819,0.019961611313468634,0.88562988824632582,1938,308.57900000000001,1,0.0020616632980565153
3,5,383118684.9557277,0.00080000000000000004,0.012369979788439671,0.79333333333333333,0.017927870490890962,0.019961611313468634,0.89811740191507228,2929,408.20766666666668,1,0.0020616632980565153
3,5,1100694171.252208,0.00080000000000000004,0.012369979788439671,1.0353333333333334,0.017047205659901574,0.019961611313468634,0.85399947890976957,3264,574.21000000000004,1,0.0020616632980565153
3,5,3162277660.1683793,0.00080000000000000004,0.012369979788439671,1.3446666666666667,0.016131978816936288,0.019961611313468634,0.80815013195110208,5168,785.95833333333337,1,0.0020616632980565153
3,5,9085175756.5168438,0.00080000000000000004,0.012369979788439671,2.5663333333333331,0.022432933494059483,0.019961611313468634,1.1238037421820444,6648,1061.6376666666667,1,0.0020616632980565153
3,5,26101572156.825333,0.00080000000000000004,0.012369979788439671,2.9306666666666668,0.018665491428506212,0.019961611313468634,0.93506937568271886,8178,1474.665,1,0.0020616632980565153
3,5,74989420933.24559,0.00080000000000000004,0.012369979788439671,4.0793333333333335,0.018930504932851585,0.019961611313468634,0.94834553361324425,13115,1998.1176666666668,1,0.0020616632980565153
3,5,215443469003.18777,0.00080000000000000004,0.012369979788439671,5.4366666666666665,0.018382548066033011,0.019961611313468634,0.92089500077730768,17186,2844.3653333333332,1,0.0020616632980565153
3,5,618965818891.25977,0.00080000000000000004,0.012369979788439671,6.6323333333333334,0.016339522063652415,0.019961611313468634,0.81854725087386615,23194,3837.1153333333332,1,0.0020616632980565153
3,5,1778279410038.9229,0.00080000000000000004,0.012369979788439671,10.273999999999999,0.018442193111730714,0.019961611313468634,0.92388298830802662,31909,5214.0683333333336,1,0.0020616632980565153
3,5,5108969774506.9141,0.00080000000000000004,0.012369979788439671,14.276,0.018671514368413866,0.019961611313468634,0.93537110182160965,45236,7249.6909999999998,1,0.0020616632980565153
3,5,14677992676220.676,0.00080000000000000004,0.012369979788439671,19.498333333333335,0.018581060375813332,0.019961611313468634,0.93083970447196274,68040,9806.3316666666669,1,0.0020616632980565153
3,5,42169650342858.227,0.00080000000000000004,0.012369979788439671,29.037666666666667,0.020162051485962462,0.019961611313468634,1.0100412822064413,89244,13946.380999999999,1,0.0020616632980565153
3,5,121152765862858.52,0.00080000000000000004,0.012369979788439671,37.579999999999998,0.019012086417431611,0.019961611313468634,0.9524324524144826,111139,18286.43,1,0.0020616632980565153
3,5,348070058842840.62,0.00080000000000000004,0.012369979788439671,54.790666666666667,0.020196661592103888,0.019961611313468634,1.0117751154926387,159990,25731.133333333335,1,0.0020616632980565153
3,5,1000000000000000,0.00080000000000000004,0.012369979788439671,69.120666666666665,0.018564400202011975,0.019961611313468634,0.93000509380152474,260977,34945.662333333334,1,0.0020616632980565153
