w,t,F_used,average_x,C_sim,steps_max,steps_mean
1,10000000000000000,0.01,29285.817999999999,1.8478101956210251,358685,70782.072
1,11787686347935914,0.01,29608.921999999999,1.7782549426019707,402998,71550.997000000003
1,13894954943731360,0.01,30896.364000000001,1.7662420910972989,466527,74654.841
1,16378937069540680,0.01,33187.534,1.8058815835400919,404532,80202.392999999996
1,19306977288832456,0.01,34868.445,1.8060022798166633,436529,84242.525999999998
1,22758459260747912,0.01,38423.982000000004,1.8943469062566813,499694,92838.607000000004
1,26826957952797164,0.01,40508.487999999998,1.9009671177138312,664973,97848.198999999993
1,31622776601683792,0.01,41168.671000000002,1.838936984636119,591366,99477.788
1,37275937203149536,0.01,44001.171000000002,1.8708357619060831,491510,106317.708
1,43939705607607864,0.01,43804.654000000002,1.7728137499990848,651435,105860.33500000001
1,51794746792312232,0.01,47506.434999999998,1.8300658917032859,617904,114773.071
1,61054022965853144,0.01,49325.347999999998,1.8086555786274614,659991,119189.31299999999
1,71968567300115288,0.01,53289.794000000002,1.85994963507251,754218,128760.72
1,84834289824406912,0.01,57282.491000000002,1.903051174576601,747505,138409.36499999999
1,1e+17,0.01,59373.419000000002,1.8775523651151687,1122876,143471.71599999999
3,10000000000000000,0.0022222222222222222,4220.4319999999998,1.9466614026537219,349132,73757.239000000001
3,11787686347935914,0.0022222222222222222,4638.2579999999998,2.0363847761454603,537599,81178.660000000003
3,13894954943731360,0.0022222222222222222,4384.2190000000001,1.832181981286253,535575,76460.883000000002
3,16378937069540680,0.0022222222222222222,4689.3819999999996,1.8653632163740037,406220,81884.013999999996
3,19306977288832456,0.0022222222222222222,4716.7889999999998,1.7859351051888916,461198,82462.562999999995
3,22758459260747912,0.0022222222222222222,5402.8879999999999,1.9472271598691606,424675,94279.259999999995
3,26826957952797164,0.0022222222222222222,5538.6989999999996,1.9000710731565518,423587,96778.486000000004
3,31622776601683792,0.0022222222222222222,5791.0630000000001,1.8910011820352086,611968,101205.21400000001
3,37275937203149536,0.0022222222222222222,5809.9099999999999,1.8058195240715418,568558,101469.34299999999
3,43939705607607864,0.0022222222222222222,6127.5219999999999,1.812847396000864,713669,106956.5
3,51794746792312232,0.0022222222222222222,6355.5810000000001,1.7897940274311053,602136,111021.2
3,61054022965853144,0.0022222222222222222,6869.6000000000004,1.8414107530495829,726385,120023.84600000001
3,71968567300115288,0.0022222222222222222,7648.6599999999999,1.9515334946755374,1048683,133475.98000000001
3,84834289824406912,0.0022222222222222222,7831.2129999999997,1.9019150655754669,830242,136703.62899999999
3,1e+17,0.0022222222222222222,8119.5839999999998,1.8770130403280667,771471,141842.92300000001
5,10000000000000000,0.00080000000000000004,1422.8820000000001,1.8230555215481978,378898,69435.517999999996
5,11787686347935914,0.00080000000000000004,1452.1559999999999,1.7709883819578427,394904,70548.456999999995
5,13894954943731360,0.00080000000000000004,1617.8499999999999,1.8780714918311212,445374,78599.581000000006
5,16378937069540680,0.00080000000000000004,1739.4300000000001,1.9219949922431345,414479,84131.383000000002
5,19306977288832456,0.00080000000000000004,1827.3579999999999,1.921942379037332,504028,88334.487999999998
5,22758459260747912,0.00080000000000000004,1864.866,1.8669633129112109,442000,90343.660000000003
5,26826957952797164,0.00080000000000000004,1966.105,1.873554319689948,538393,95602.944000000003
5,31622776601683792,0.00080000000000000004,1924.5070000000001,1.7456231993614957,539654,93739.752999999997
5,37275937203149536,0.00080000000000000004,2103.6869999999999,1.8162831825925632,738177,102115.06200000001
5,43939705607607864,0.00080000000000000004,2136.4769999999999,1.7557880503306491,556825,103595.15399999999
5,51794746792312232,0.00080000000000000004,2360.1109999999999,1.8461956559100721,623844,114577.946
5,61054022965853144,0.00080000000000000004,2466.5149999999999,1.8365403951863977,607878,119306.92200000001
5,71968567300115288,0.00080000000000000004,2655.317,1.881934607747328,818476,128771.262
5,84834289824406912,0.00080000000000000004,2762.21,1.8634436940155055,1001310,134248.77900000001
5,1e+17,0.00080000000000000004,2860.2049999999999,1.8366574783920027,680545,138918.44500000001
7,10000000000000000,0.00040816326530612246,752.43600000000004,1.8895424249142332,376542,71890.479000000007
7,11787686347935914,0.00040816326530612246,796.95100000000002,1.9049787250817283,433637,75134.694000000003
7,13894954943731360,0.00040816326530612246,796.41600000000005,1.8120489063057892,560871,76185.449999999997
7,16378937069540680,0.00040816326530612246,851.20600000000002,1.8434698676922479,396162,81417.619000000006
7,19306977288832456,0.00040816326530612246,915.23000000000002,1.8867008403334331,493756,87132.426000000007
7,22758459260747912,0.00040816326530612246,953.60599999999999,1.8711697984011377,526346,91233.649999999994
7,26826957952797164,0.00040816326530612246,1058.6669999999999,1.977311210076709,611975,100064.85000000001
7,31622776601683792,0.00040816326530612246,1121.624,1.9940423369241322,590958,106397.401
7,37275937203149536,0.00040816326530612246,1073.067,1.8158724895644196,536426,102415.139
7,43939705607607864,0.00040816326530612246,1126.194,1.8140244975284014,845253,106513.939
7,51794746792312232,0.00040816326530612246,1281.72,1.9651446717304366,620815,121775.95299999999
7,61054022965853144,0.00040816326530612246,1296.808,1.8925548567633801,630969,122990.15399999999
7,71968567300115288,0.00040816326530612246,1306.126,1.8143843820146628,736541,124363.45
7,84834289824406912,0.00040816326530612246,1426.893,1.8867182926911199,865934,135126.83100000001
7,1e+17,0.00040816326530612246,1460.8779999999999,1.8386583155011509,876861,138777.18100000001
9,10000000000000000,0.00024691358024691359,448.76100000000002,1.8629067970877349,330738,70006.567999999999
9,11787686347935914,0.00024691358024691359,474.005,1.8729680609296551,398885,75279.319000000003
9,13894954943731360,0.00024691358024691359,479.36099999999999,1.8029412491899321,520866,76093.514999999999
9,16378937069540680,0.00024691358024691359,537.74400000000003,1.9251557874432927,457862,83536.789000000004
9,19306977288832456,0.00024691358024691359,576.59500000000003,1.9648645016318311,595675,91023.009999999995
9,22758459260747912,0.00024691358024691359,566.91800000000001,1.8388800847191986,420236,89384.717999999993
9,26826957952797164,0.00024691358024691359,571.42700000000002,1.7642712156926494,630848,90616.861999999994
9,31622776601683792,0.00024691358024691359,600.12400000000002,1.7636687323742253,557986,93513.539999999994
9,37275937203149536,0.00024691358024691359,637.47000000000003,1.7832293354094939,605329,99619.486000000004
9,43939705607607864,0.00024691358024691359,706.87400000000002,1.8821788337612548,658067,110273.04700000001
9,51794746792312232,0.00024691358024691359,721.14200000000005,1.8277260254833507,703437,113877.751
9,61054022965853144,0.00024691358024691359,761.11300000000006,1.8361614886416162,666241,120541.22
9,71968567300115288,0.00024691358024691359,797.59699999999998,1.8315411257363408,574151,126412.158
9,84834289824406912,0.00024691358024691359,813.14800000000002,1.777355038827706,709567,129685.63800000001
9,1e+17,0.00024691358024691359,913.45699999999999,1.9004836093832631,722434,144269.99799999999
