t,average_x
100000,0.19601333333333334
132194.11484660287,0.23024333333333333
174752.84000076831,0.26495000000000002
231012.97000831581,0.29599333333333333
305385.55088334123,0.33609333333333336
403701.72585965577,0.36745
533669.92312063125,0.39376
705480.23107186449,0.40486666666666665
932603.3468832199,0.41974666666666666
1232846.7394420658,0.42326000000000003
1629750.8346206434,0.42465666666666668
2154434.6900318866,0.42431333333333332
2848035.8684358047,0.44192999999999999
3764935.8067924711,0.47338999999999998
4977023.5643321136,0.47837333333333332
6579332.2465756824,0.51375666666666664
8697490.0261778347,0.52839000000000003
11497569.953977356,0.54496999999999995
15199110.829529332,0.55402333333333331
20092330.02565046,0.56198333333333328
26560877.829466838,0.61083333333333334
35111917.342151277,0.63426333333333329
46415888.336127818,0.65863333333333329
61359072.734131761,0.72982333333333338
81113083.078968719,0.78508666666666671
107226722.20103253,0.85578333333333334
141747416.29268077,0.91590333333333329
187381742.2860387,0.99033333333333329
247707635.5991714,1.0571999999999999
327454916.28777319,1.1243966666666667
432876128.10830617,1.1612
572236765.935022,1.1857166666666668
756463327.55462909,1.2098366666666667
1000000000,1.2365699999999999
1321941148.4660287,1.3428033333333333
1747528400.007683,1.3833433333333334
2310129700.083158,1.4997066666666667
3053855508.8334122,1.6104499999999999
4037017258.5965495,1.7769333333333333
5336699231.2063017,1.9899366666666667
7054802310.7186308,2.2387333333333332
9326033468.83218,2.5570166666666667
12328467394.420633,2.9873533333333335
16297508346.206402,3.4848233333333334
21544346900.318867,4.1060100000000004
28480358684.358047,4.8239666666666663
37649358067.924713,5.6579066666666664
49770235643.321136,6.5063766666666663
65793322465.756821,7.3917066666666669
86974900261.778351,8.1704799999999995
114975699539.77356,8.8401800000000001
151991108295.2933,9.3814266666666661
200923300256.50458,9.720323333333333
265608778294.66949,9.9422599999999992
351119173421.51416,10.063113333333334
464158883361.27917,10.150829999999999
613590727341.31885,10.528373333333333
811130830789.68884,11.945846666666666
1072267222010.3253,12.223683333333334
1417474162926.8076,14.015413333333333
1873817422860.3867,15.104396666666666
2477076355991.7139,17.00018
3274549162877.7319,19.931696666666667
4328761281083.0615,22.829613333333334
5722367659350.2197,27.119959999999999
7564633275546.291,32.136569999999999
10000000000000,38.082596666666667
13219411484660.287,45.036216666666668
17475284000076.83,53.113959999999999
23101297000831.582,62.165280000000003
30538555088334.125,71.648053333333337
40370172585965.5,81.136673333333334
53366992312063.016,90.179969999999997
70548023107186.594,97.952066666666667
93260334688322.188,104.72031333333334
123284673944206.84,111.50853333333333
162975083462064.69,118.88949333333333
215443469003188.66,128.30055333333334
284803586843580.5,140.80790666666667
376493580679247.12,157.19956333333334
497702356433211.38,177.94259333333332
657933224657568.25,204.42637999999999
869749002617783.38,236.52107666666666
1149756995397735.8,273.64571333333333
1519911082952933.2,315.67479333333335
2009233002565046,359.98487666666665
2656087782946684,404.89963
3511191734215127.5,447.97161333333332
4641588833612792,486.22578666666669
6135907273413188,517.89881333333335
8111308307896889,540.94303666666667
10722672220103254,555.97882666666669
14174741629268076,564.44990333333328
18738174228603868,568.91869666666662
24770763559917140,571.42249333333336
32745491628777316,573.58718999999996
43287612810830616,575.71425666666664
57223676593502200,577.88117666666665
75646332755462912,579.66122333333328
1e+17,581.17500333333328
