Time_t,Mean_X_Position,Num_Simulations
0.000000,0.000000,150000
100.000000,0.191427,150000
200.000000,0.264780,150000
300.000000,0.329860,150000
400.000000,0.381180,150000
500.000000,0.417153,150000
600.000000,0.461980,150000
700.000000,0.492533,150000
800.000000,0.535047,150000
900.000000,0.573907,150000
1000.000000,0.590520,150000
1100.000000,0.629427,150000
1200.000000,0.656167,150000
1300.000000,0.676273,150000
1400.000000,0.706580,150000
1500.000000,0.732673,150000
1600.000000,0.756553,150000
1700.000000,0.783500,150000
1800.000000,0.792807,150000
1900.000000,0.815113,150000
2000.000000,0.862920,150000
2100.000000,0.853960,150000
2200.000000,0.883560,150000
2300.000000,0.892080,150000
2400.000000,0.915447,150000
2500.000000,0.932920,150000
2600.000000,0.958140,150000
2700.000000,0.964967,150000
2800.000000,0.995527,150000
2900.000000,1.023147,150000
3000.000000,1.051347,150000
3100.000000,1.048353,150000
3200.000000,1.048353,150000
3300.000000,1.083907,150000
3400.000000,1.107760,150000
3500.000000,1.129393,150000
3600.000000,1.134040,150000
3700.000000,1.150893,150000
3800.000000,1.160360,150000
3900.000000,1.164280,150000
4000.000000,1.190640,150000
4100.000000,1.195173,150000
4200.000000,1.223093,150000
4300.000000,1.247620,150000
4400.000000,1.253007,150000
4500.000000,1.249907,150000
4600.000000,1.278340,150000
4700.000000,1.274460,150000
4800.000000,1.296353,150000
4900.000000,1.327087,150000
5000.000000,1.349320,150000
5100.000000,1.338453,150000
5200.000000,1.334453,150000
5300.000000,1.355960,150000
5400.000000,1.393413,150000
5500.000000,1.394420,150000
5600.000000,1.420320,150000
5700.000000,1.398713,150000
5800.000000,1.430367,150000
5900.000000,1.451273,150000
6000.000000,1.465280,150000
6100.000000,1.520653,150000
6200.000000,1.491800,150000
6300.000000,1.504507,150000
6400.000000,1.495760,150000
6500.000000,1.493613,150000
6600.000000,1.518447,150000
6700.000000,1.531520,150000
6800.000000,1.557047,150000
6900.000000,1.587313,150000
7000.000000,1.564853,150000
7100.000000,1.584400,150000
7200.000000,1.610847,150000
7300.000000,1.604847,150000
7400.000000,1.604327,150000
7500.000000,1.617087,150000
7600.000000,1.651433,150000
7700.000000,1.649413,150000
7800.000000,1.658427,150000
7900.000000,1.632527,150000
8000.000000,1.688560,150000
8100.000000,1.693807,150000
8200.000000,1.709213,150000
8300.000000,1.706033,150000
8400.000000,1.707173,150000
8500.000000,1.703147,150000
8600.000000,1.754980,150000
8700.000000,1.760173,150000
8800.000000,1.784947,150000
8900.000000,1.773233,150000
9000.000000,1.800687,150000
9100.000000,1.810633,150000
9200.000000,1.775720,150000
9300.000000,1.824647,150000
9400.000000,1.841487,150000
9500.000000,1.853307,150000
9600.000000,1.836960,150000
9700.000000,1.868693,150000
9800.000000,1.856687,150000
9900.000000,1.887487,150000
10000.000000,1.882353,150000
